id,eng_lemma,swe_lemma,status,pos,src
ICT713,culture,kultur,silver,N?,ICT
ICT719,customer,kund,silver,N?,ICT
ICT746,data-processing,databehandling,silver,N?,ICT
ICT874,disadvantage,nackdel,silver,N?,ICT
ICT976,e-health,eHälsa,silver,N?,ICT
ICT955,eco-driving,ekokörning,silver,N?,ICT
ICT1034,energy-conserving,energibesparande,silver,N?,ICT
ICT1045,energy-efficient,energieffektiv,silver,N?,ICT
ICT1047,engine,motor,silver,N?,ICT
ICT1073,environment,miljö,silver,N?,ICT
ICT1106,event-driven,händelsestyrd,silver,N?,ICT
ACM502,Fault-tolerance,Feltolerans,silver,N?,ACM
ICT1177,fault,fel,silver,N?,ICT
ICT1262,four-legged,fyrbent,silver,N?,ICT
ICT1271,free-running,frigång,silver,N?,ICT
ICT1285,front-end,framända,silver,N?,ICT
ICT1391,handler,hanterare,silver,N?,ICT
ICT1396,hands-free,handsfree,silver,N?,ICT
ICT1412,headset,hörlurar,silver,N?,ICT
ICT1453,home,hem,silver,N?,ICT
ICT1514,impact,påverkan,silver,N?,ICT
ICT1545,indoor,inomhus,silver,N?,ICT
ICT1729,large-scale,storskalig,silver,N?,ICT
ICT1765,license-exempt,licensbefriad,silver,N?,ICT
ICT1835,low-pass,lågpassfilter,silver,N?,ICT
ICT1872,manufacturer,tillverkaretillverkarna,silver,N?,ICT
ICT1917,medium-sized,medelstor,silver,N?,ICT
ICT2055,multi-layer,flerskiktiga,silver,N?,ICT
ICT2066,multi-party,flerparti,silver,N?,ICT
ICT2075,multi-project,multiprojekt,silver,N?,ICT
ICT2079,multi-purpose,multisyften,silver,N?,ICT
ICT2081,multi-sensory,multisensorisk,silver,N?,ICT
ICT2082,multi-slot,flerlucks,silver,N?,ICT
ICT2145,network-aware,nätverksmedvetet,silver,N?,ICT
ICT2118,network-based,nätverksbaserat,silver,N?,ICT
ICT2223,off-line,fristående,silver,N?,ICT
ICT2236,one-time,engångs,silver,N?,ICT
ICT2326,packet-based,paketbaserat,silver,N?,ICT
ICT2394,performance-enhancing,prestationshöjande,silver,N?,ICT
ICT2401,peripheral,kringutrustning,silver,N?,ICT
ICT2444,plane,plan,silver,N?,ICT
ICT2481,port-based,portbaserad,silver,N?,ICT
ICT2497,power-down,avstängnings,silver,N?,ICT
